ua=AptvPlayer/1.3.3
.央视频道,#genre#
爱上4K,http://218.29.135.5:4000/udp/225.1.4.162:1204
CCTV1,http://www.8700956.top:18888/rtp/239.81.1.002:4056
CCTV2,http://www.8700956.top:18888/rtp/239.81.1.003:4056
CCTV3,http://www.8700956.top:18888/rtp/239.81.1.004:4056
CCTV4,http://www.8700956.top:18888/rtp/239.81.1.005:4056
CCTV5,http://www.8700956.top:18888/rtp/239.81.1.006:4056
CCTV5+,http://www.8700956.top:18888/rtp/239.81.1.018:4056
CCTV6,http://www.8700956.top:18888/rtp/239.81.1.007:4056
CCTV7,http://www.8700956.top:18888/rtp/239.81.1.008:4056
CCTV8,http://www.8700956.top:18888/rtp/239.81.1.009:4056
CCTV9,http://www.8700956.top:18888/rtp/239.81.1.010:4056
CCTV10,http://www.8700956.top:18888/rtp/239.81.1.011:4056
CCTV11,http://www.8700956.top:18888/rtp/239.81.1.012:4056
CCTV12,http://www.8700956.top:18888/rtp/239.81.1.013:4056
CCTV13,http://www.8700956.top:18888/rtp/239.81.1.014:4056
CCTV14,http://www.8700956.top:18888/rtp/239.81.1.015:4056
CCTV15,http://www.8700956.top:18888/rtp/239.81.1.016:4056
CCTV16,http://www.8700956.top:18888/rtp/239.81.1.017:4056
CCTV17,http://www.8700956.top:18888/rtp/239.81.1.019:4056
CCTV4K超高清,http://www.8700956.top:18888/rtp/239.81.1.078:4056
CCTV世界地理,https://epg.pw/stream/a21d3b2c0fb8bedc944540de165684096fba12a38f2320b2432ff9db7a01dd03.m3u8
CCTV央视台球,https://epg.pw/stream/25677ac2e8c1f7c3dd6359c43eb5f0f54efb3f5c11f9dda18d01b3e0308ed017.m3u8
CCTV怀旧剧场,https://epg.pw/stream/64118614da901fa555c5610863ebf1a8a8b974569476259a8a5d3d014e16e6f3.m3u8
CCTV卫生健康,https://epg.pw/stream/fc90a505bbcefc5a9c91e5dc5e12f5b0d6f76ac5f86b55a33ee724051af2d385.m3u8
CCTV风云剧场,https://epg.pw/stream/676f4b273ee7a1b54be02b6406b73822401d0be7b04001f0e77cb0c2a88830bf.m3u8
CCTV风云足球,https://epg.pw/stream/6d7bf281e3d739806a73f5373acaa6e01988ec9739f5ac1355ce54b47a928472.m3u8
CCTV剧场第一,https://epg.pw/stream/5786b35cc03d1123a37e180495579c6e0fbd339c32542307be9a2e4388e04925.m3u8
CGTN,https://epg.pw/stream/aaa56ce8ac0666968ec0399c5b51f0d39a6a20a0b154da1b0739c872a920111d.m3u8
央视女性时尚,https://epg.pw/stream/1077cc124885bf8775068ce65630acf3ef9480488700f3b093314c6070bdb3e0.m3u8



.卫视频道,#genre#
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
河南卫视,http://218.29.135.5:4000/udp/225.1.4.254:1300
广东卫视,http://www.8700956.top:18888/rtp/239.81.1.021:4056
湖南卫视,http://www.8700956.top:18888/rtp/239.81.1.022:4056
五星卫视,http://www.8700956.top:18888/rtp/239.81.1.023:4056
北京卫视,http://www.8700956.top:18888/rtp/239.81.1.024:4056
